Category,Sub Category,Sub Category Level 2,Product Name,Product Code,Active,Main Image,Flip Image,Handpicked,Curated,Deals & Bundles,Loyalty Points,Tax,Split Tax Applicable,Tax 2,Tax Applicable After,SKU Code,Color,Size,HSN Code,EAN Code,MRP,Discounted Price,Available Quantity,Pack of,Description,Care Instructions,Page Title,Meta Keywords,Meta Description
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7003- D31,1,https://www.dropbox.com/s/avwyv8edcz1ts52/31.1.jpg,https://www.dropbox.com/s/1iiw9j0f6bliihb/31.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7003- D31,Blue Moon,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7000- D32,1,https://www.dropbox.com/s/qpik8valr85j10z/32.1.jpg,https://www.dropbox.com/s/ixhdysjo7exl5e2/32.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7000- D32,White Smoke,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7006- D33,1,https://www.dropbox.com/s/6tus41f3wcd9bbn/33.1.jpg,https://www.dropbox.com/s/5xriy8e9d3u68zq/33.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7006- D33,Vanilla Cream,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7041- D34,1,https://www.dropbox.com/s/9rg4b8a5h74feii/34.1.jpg,https://www.dropbox.com/s/u2cs6q46vasz1cr/34.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7041- D34,Orange,21 Inches x 10 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 50 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7020- D35,1,https://www.dropbox.com/s/jt6tlmk6gu2utt1/35.1.jpg,https://www.dropbox.com/s/v0j15c7nevfblsj/35.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7020- D35,Beauty Bush,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7020- D35,1,https://www.dropbox.com/s/b76yv0k9reetzh4/36.1.jpg,https://www.dropbox.com/s/cs3cjzf5grn0ut9/36.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7019- D36,Vanilla Cream,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7020- D35,1,https://www.dropbox.com/s/vb9jao0a4ya9vba/37.1.jpg,https://www.dropbox.com/s/eybro15qq4dk1a4/37.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7018- D37,Grey,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-2019- D38,1,https://www.dropbox.com/s/ikvpqrlsusgmh7p/38.1.jpg,https://www.dropbox.com/s/wtg97nop4ok5tvd/38.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-2019- D38,White Smoke,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 50 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7014- D40,1,https://www.dropbox.com/s/dn3oiybazqqok1o/39.1.jpg,https://www.dropbox.com/s/4pp5fmqg3nvvalm/39.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7015- D39,Petal Pink,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
Decor,Wallpaper,,Textured Wallpaper,WALLPAPER-TXPL-7014- D40,1,https://www.dropbox.com/s/powlf4vr496yycm/40.1.jpg,https://www.dropbox.com/s/5xb8veaz9hadisq/40.2.jpg,0,0,0,0,12,0,0,0,WALLPAPER-TXPL-7014- D40,Cannoli Cream,42 Inches x 5 Meters,480240,,1500,0,10,1,<p>Painting a space can block it for weeks. Ariana&#39;s Wallpapers can be applied in a day. Wallpapers are perfect for giving your house a makeover and allowing you to experiment with your space. Our Wallpapers are easy on the pocket and help you keep up with decor trends. Happy Homemaking!</p>||| |||| ||| |||| <ul>||| |||| ||||| <li>Actual Area: 57 Sq. ft.</li>||| |||| ||||| <li>Coverage Area: 53 Sq. ft.</li>||| |||| </ul>||| |||| ,The wallpaper is washable. It can be sponge-washed with a mild soap solution and warm water. It should be lightly scrubbed but never use an abrasive cleanser||  rough surfaced sponge||  or pumice on it. They are damp proof so are not affected by atmospheric dampness. They are colorfast so washing will not result in loss of colors. Use an extended duster or an electrostatic dry dust cloth||  and wipe down||  left to right.,,,
